ID_USER,DATE,CATEGORIA_MAE,Bairro,LAT,LONG,HOUR,DAY_OF_WEEK,DAY_NAME,PURPOSE
59907035,2014-02-12 13:54:32-02:00,Sandwiches,GUAÍRA,-25.4691758047,-49.2825208604,13,2,Wednesday,LEISURE
21015914,2014-03-24 16:46:41-03:00,Residential,PORTÃO,-25.4741540315,-49.2900125549,16,0,Monday,HOME
21015914,2014-03-24 16:46:41-03:00,Residential,PORTÃO,-25.4741540315,-49.2900125549,16,0,Monday,HOME
43112636,2014-04-23 23:45:41-03:00,Soccer,ÁGUA VERDE,-25.4625139207,-49.2779671403,23,2,Wednesday,LEISURE
37412621,2014-04-23 23:47:00-03:00,Home,CENTRO,-25.4381559118,-49.2790735502,23,2,Wednesday,HOME
72958760,2014-04-23 23:47:58-03:00,Home,CIDADE INDUSTRIAL DE CURITIBA,-25.4908519915,-49.3196416894,23,2,Wednesday,HOME
84158481,2014-04-23 23:48:57-03:00,Home,REBOUÇAS,-25.44455574,-49.268935966,23,2,Wednesday,HOME
29031527,2014-04-23 23:49:17-03:00,Residential,CAMPO COMPRIDO,-25.4753430713,-49.333150083,23,2,Wednesday,HOME
3459415,2014-04-23 23:50:07-03:00,Residential,HAUER,-25.4841908571,-49.2544126511,23,2,Wednesday,HOME
77631630,2014-04-23 23:54:30-03:00,Home,REBOUÇAS,-25.44455574,-49.268935966,23,2,Wednesday,HOME
20242697,2014-04-23 23:55:03-03:00,Fast-Food,HAUER,-25.474123729,-49.2511128893,23,2,Wednesday,LEISURE
20242697,2014-04-23 23:55:23-03:00,Pharmacy,HAUER,-25.4780310624,-49.2494773865,23,2,Wednesday,PURCHASE
20242697,2014-04-23 23:55:32-03:00,Neighborhood,HAUER,-25.4803168092,-49.2511940002,23,2,Wednesday,HOME
20242697,2014-04-23 23:55:47-03:00,Home,BOQUEIRÃO,-25.4866957159,-49.2486661415,23,2,Wednesday,HOME
